Period,Code,Sex,age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,05-09,73.25156,73.13409,73.36903,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,10-14,68.29096,68.17434,68.40759,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,15-19,63.33377,63.2179,63.44963,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,20-24,58.48738,58.3738,58.60097,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,25-29,53.68116,53.5701,53.79221,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,30-34,48.88524,48.77702,48.99346,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,35-39,44.15275,44.0483,44.2572,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,40-44,39.46374,39.36288,39.56459,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,45-49,34.8518,34.75433,34.94927,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,50-54,30.32033,30.22624,30.41442,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,55-59,25.91802,25.82799,26.00806,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,60-64,21.72728,21.64186,21.81271,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,65-69,17.75147,17.66943,17.83351,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,70-74,14.08232,14.00415,14.16048,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,75-79,10.82888,10.7542,10.90357,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,80-84,7.99396,7.92001,8.06791,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,85-89,5.73002,5.64813,5.81191,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,90plus,4.22883,4.10444,4.35322,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,lessthan1,82.00474,81.88787,82.12161,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,01-04,81.30868,81.19953,81.41783,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,05-09,77.35986,77.25204,77.46768,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,10-14,72.38193,72.2747,72.48916,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,15-19,67.41921,67.31282,67.5256,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,20-24,62.46887,62.36339,62.57435,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,25-29,57.53655,57.43217,57.64093,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,30-34,52.63526,52.53252,52.738,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,35-39,47.76933,47.66879,47.86986,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,40-44,42.94446,42.84621,43.04271,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,45-49,38.18338,38.08748,38.27928,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,50-54,33.52298,33.4299,33.61607,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,55-59,28.99162,28.90228,29.08097,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,60-64,24.57815,24.4929,24.6634,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,65-69,20.36901,20.28746,20.45057,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,70-74,16.35962,16.28257,16.43668,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,75-79,12.70259,12.63063,12.77454,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,80-84,9.45572,9.38759,9.52384,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,85-89,6.81309,6.7439,6.88229,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,90plus,4.81014,4.72108,4.89919,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,lessthan1,79.08977,79.05971,79.11984,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,01-04,78.46643,78.43809,78.49476,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,05-09,74.52453,74.49647,74.55259,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,10-14,69.55805,69.53016,69.58595,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,15-19,64.59178,64.56404,64.61952,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,20-24,59.68781,59.66044,59.71519,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,25-29,54.83217,54.80526,54.85907,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,30-34,49.98677,49.96032,50.01322,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,35-39,45.17241,45.14647,45.19835,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,40-44,40.41584,40.3905,40.44119,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,45-49,35.74093,35.7162,35.76567,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,50-54,31.1489,31.1248,31.173,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,55-59,26.69185,26.66855,26.71515,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,60-64,22.43873,22.41647,22.46099,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,65-69,18.41595,18.39457,18.43734,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,70-74,14.6535,14.63302,14.67398,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,75-79,11.29306,11.27355,11.31256,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,80-84,8.34476,8.32551,8.364,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,85-89,5.98554,5.96445,6.00663,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,90plus,4.33516,4.30466,4.36565,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,lessthan1,82.87525,82.84685,82.90364,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,01-04,82.19222,82.16556,82.21889,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,05-09,78.24336,78.21698,78.26973,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,10-14,73.27246,73.24626,73.29867,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,15-19,68.30161,68.27556,68.32765,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,20-24,63.35479,63.329,63.38059,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,25-29,58.41842,58.39286,58.44397,LE
