Period,Code,Sex,age group,Healthy Life Expectancy (HLE) _,HLE Lower CI_,HLE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,75-79,5.73563,5.4798,5.99146,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,80-84,3.93592,3.70315,4.16869,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,85-89,2.59417,2.39818,2.79016,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,90plus,1.65146,1.46716,1.83577,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,lessthan1,61.33785,60.96382,61.71189,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,01-04,60.65107,60.27539,61.02675,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,05-09,56.8045,56.43071,57.17828,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,10-14,52.02894,51.65903,52.39885,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,15-19,47.30328,46.93823,47.66833,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,20-24,42.71673,42.35709,43.07637,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,25-29,38.25069,37.89946,38.60191,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,30-34,33.8883,33.54757,34.22902,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,35-39,29.67814,29.35032,30.00595,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,40-44,25.62756,25.31118,25.94394,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,45-49,21.76173,21.45873,22.06474,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,50-54,18.09732,17.80679,18.38785,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,55-59,14.69783,14.42099,14.97467,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,60-64,11.6765,11.41269,11.94031,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,65-69,9.02167,8.76639,9.27694,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,70-74,6.68578,6.43711,6.93445,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,75-79,4.74176,4.49241,4.99111,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,80-84,3.20361,2.96822,3.439,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,85-89,2.08117,1.88752,2.27482,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,90plus,1.41382,1.22394,1.6037,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,lessthan1,62.27438,61.88389,62.66487,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,01-04,61.53461,61.14279,61.92642,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,05-09,57.70825,57.31844,58.09806,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,10-14,52.93348,52.54791,53.31905,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,15-19,48.22551,47.84526,48.60576,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,20-24,43.61522,43.24206,43.98838,HLE
